time	V(n002)	V(n003)
0.000000000000000e+000	1.865404e-014	0.000000e+000
1.428571428571429e-010	4.034029e-005	1.514286e-001
2.857142857142858e-010	8.121438e-005	3.028572e-001
4.285714285714288e-010	1.226223e-004	4.542857e-001
5.714285714285716e-010	1.645639e-004	6.057143e-001
7.142857142857145e-010	2.070394e-004	7.571429e-001
8.571428571428575e-010	2.500487e-004	9.085714e-001
1.000000000000000e-009	2.935917e-004	1.060000e+000
3.737500027728463e-009	2.616635e-004	1.060000e+000
6.475000055456926e-009	2.153623e-004	1.060000e+000
9.212500083185389e-009	1.546881e-004	1.060000e+000
1.195000011091385e-008	7.964088e-005	1.060000e+000
1.468750013864232e-008	-9.779306e-006	1.060000e+000
1.742500016637078e-008	-1.135725e-004	1.060000e+000
2.016250019409923e-008	-2.317386e-004	1.060000e+000
3.936250038857831e-008	-1.238980e-003	1.060000e+000
7.776250077753645e-008	-3.919884e-003	1.060000e+000
1.545625015554528e-007	-1.023450e-002	1.060000e+000
3.081625031112854e-007	-2.364369e-002	1.060000e+000
2.001000000000000e-006	-1.723722e-001	1.060000e+000
2.002000000000000e-006	-1.727529e-001	0.000000e+000
2.004920000000000e-006	-1.729734e-001	0.000000e+000
2.007840000000000e-006	-1.731780e-001	0.000000e+000
2.010760000000001e-006	-1.733665e-001	0.000000e+000
2.013680000000001e-006	-1.735390e-001	0.000000e+000
2.016600000000001e-006	-1.736956e-001	0.000000e+000
2.019520000000001e-006	-1.738361e-001	0.000000e+000
2.022440000000001e-006	-1.739607e-001	0.000000e+000
2.042920000000003e-006	-1.746441e-001	0.000000e+000
2.083880000000006e-006	-1.753082e-001	0.000000e+000
2.165800000000012e-006	-1.756734e-001	0.000000e+000
2.329640000000025e-006	-1.756564e-001	0.000000e+000
2.214083321428577e-005	-1.603983e-001	0.000000e+000
4.195202642857152e-005	-1.462388e-001	0.000000e+000
6.176321964285727e-005	-1.331778e-001	0.000000e+000
8.157441285714302e-005	-1.212153e-001	0.000000e+000
1.013856060714288e-004	-1.103514e-001	0.000000e+000
1.211967992857145e-004	-1.005861e-001	0.000000e+000
1.410079925000002e-004	-9.191924e-002	0.000000e+000
1.609577692857145e-004	-8.388332e-002	0.000000e+000
1.809075460714288e-004	-7.642908e-002	0.000000e+000
2.008573228571431e-004	-6.955652e-002	0.000000e+000
2.208070996428574e-004	-6.326564e-002	0.000000e+000
2.407568764285717e-004	-5.755643e-002	0.000000e+000
2.607066532142860e-004	-5.242890e-002	0.000000e+000
2.806564300000003e-004	-4.788306e-002	0.000000e+000
3.010247335714289e-004	-4.361604e-002	0.000000e+000
3.213930371428575e-004	-3.966285e-002	0.000000e+000
3.417613407142861e-004	-3.602351e-002	0.000000e+000
3.621296442857147e-004	-3.269801e-002	0.000000e+000
3.824979478571433e-004	-2.968635e-002	0.000000e+000
4.028662514285719e-004	-2.698852e-002	0.000000e+000
4.232345550000004e-004	-2.460454e-002	0.000000e+000
4.444399121428576e-004	-2.232928e-002	0.000000e+000
4.656452692857148e-004	-2.022659e-002	0.000000e+000
4.868506264285719e-004	-1.829647e-002	0.000000e+000
5.080559835714290e-004	-1.653891e-002	0.000000e+000
5.292613407142863e-004	-1.495393e-002	0.000000e+000
5.504666978571434e-004	-1.354152e-002	0.000000e+000
5.716720550000005e-004	-1.230168e-002	0.000000e+000
5.942725014285719e-004	-1.109593e-002	0.000000e+000
6.168729478571434e-004	-9.986131e-003	0.000000e+000
6.394733942857149e-004	-8.972278e-003	0.000000e+000
6.620738407142863e-004	-8.054371e-003	0.000000e+000
6.846742871428578e-004	-7.232410e-003	0.000000e+000
7.072747335714292e-004	-6.506396e-003	0.000000e+000
7.298751800000006e-004	-5.876327e-003	0.000000e+000
7.552658050000007e-004	-5.236526e-003	0.000000e+000
7.806564300000007e-004	-4.652182e-003	0.000000e+000
8.060470550000007e-004	-4.123295e-003	0.000000e+000
8.314376800000007e-004	-3.649864e-003	0.000000e+000
8.568283050000008e-004	-3.231889e-003	0.000000e+000
8.822189300000008e-004	-2.869371e-003	0.000000e+000
9.076095550000008e-004	-2.562309e-003	0.000000e+000
9.261642425000008e-004	-2.349629e-003	0.000000e+000
9.364879032142862e-004	-2.239605e-003	0.000000e+000
9.468115639285716e-004	-2.134206e-003	0.000000e+000
9.571352246428570e-004	-2.033434e-003	0.000000e+000
9.674588853571423e-004	-1.937287e-003	0.000000e+000
9.777825460714276e-004	-1.845766e-003	0.000000e+000
9.881062067857130e-004	-1.758871e-003	0.000000e+000
9.984298674999984e-004	-1.676603e-003	0.000000e+000
9.994064299999983e-004	-1.668970e-003	0.000000e+000
1.000000000000000e-003	-1.664610e-003	0.000000e+000
